"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.umd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\.automator\app-plus\.automator.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappchooselocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappes6.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappopenlocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniapppicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquill.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquillimageresize.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappscan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappview.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config-service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-service.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
